-Discharge ($m^3$/s),Deviation from Normal Water Level
-2027.096280961099,0.9650548090758484
-2001.5459080565167,0.9550062123299696
-1816.9762092492342,0.9450235710955308
-1751.7310331741764,0.9350099697819534
-1733.1734037859942,0.9250533537087762
-1692.6803249462778,0.8250200011382844
-1691.4912251576857,0.6350611136400737
-1643.7886365708282,0.6250384838558514
-1579.413377773897,0.6150165849400882
-1555.363440483497,0.6050093640116252
-1525.241946149922,0.5950063303576396
-1474.9088305975283,0.5850867145004308
-1450.3188210376807,0.39500368435567346
-1393.384286140153,0.2551059189652296
-1348.3735700373704,-0.22496468744665776
-1272.4594892213854,-0.24459475386954743
-1265.1652284781946,-0.24986974551557495
-1263.8312521106732,-0.2548035957627075
-1257.487371985377,-0.28495947761217266
-1228.5524795217402,-0.5248355254180233
-1221.3352873283582,-0.5449514180004069
-1214.2008489856194,-0.6349752956087276
-1206.9150103112215,-0.6546868736620031
-1196.6532016963613,-0.854953766949567
-1137.0737712365858,-0.8848174054164843
-1134.7048428081473,-0.9149123242404134
-1133.1857591987552,-0.9249216590843297
-1085.4694115889154,-0.9348290996198614
-1041.1953246690528,-0.9999735578855642
